State,DUN,Name,Party,Vote,Result
Perak,Trong,Junaida Jamaludin,Pakatan Harapan,2119,Kalah
Perak,Kamunting,Ahmad Shalimin,Barisan Nasional,6674,Kalah
Perak,Kamunting,Dr. Fadhil,Pakatan Harapan,9945,Kalah
Perak,Kamunting,Ustaz Fakhrudin,Perikatan Nasional,13045,Menang
Perak,Pokok Assam,Ang Sui Eng,Barisan Nasional,2660,Kalah
Perak,Pokok Assam,Ong Seng Guan,Pakatan Harapan,16726,Menang
Perak,Pokok Assam,Haji Juhari,Perikatan Nasional,4546,Kalah
Perak,Pokok Assam,Mohd Yusoff Bin Abdull Hamid,Bebas,111,Kalah
Perak,Pokok Assam,Leow Thye Yih,Bebas,786,Kalah
Perak,Aulong,Teh Kok Lim,Pakatan Harapan,20306,Menang
Perak,Aulong,Koay Boon Hui,Perikatan Nasional,5449,Kalah
Perak,Aulong,Cikgu Shanmuganelloo,Barisan Nasional,3756,Kalah
Perak,Aulong,Lee Seng Yap,Bebas,739,Kalah
Perak,Aulong,Abu Bakar Bin Abdul Rahman,Bebas,415,Kalah
Perak,Chenderoh,Khairuddin Bin Mohamed Azahari,Barisan Nasional,5267,Kalah
Perak,Chenderoh,Syed Lukman Hakim,Perikatan Nasional,5342,Menang
Perak,Chenderoh,Ahmad Rodzi Abdul Rahim,Parti Pejuang Tanahair,132,Kalah
Perak,Chenderoh,Mohd Khairol Iwan,Pakatan Harapan,2803,Kalah
Perak,Lubok Merbau,Mohamad Azir Bin Ismail,Barisan Nasional,4767,Kalah
Perak,Lubok Merbau,Cikgu Zaiton,Pakatan Harapan,3880,Kalah
Perak,Lubok Merbau,Ustaz Azizi,Perikatan Nasional,7722,Menang
Perak,Lintang,Dato Hj. Mohd Zolkafly Hj. Harun,Barisan Nasional,12025,Menang
Perak,Lintang,Ahmad Daslie Bin Osman,Perikatan Nasional,6745,Kalah
Perak,Lintang,Zaim Sidqi,Pakatan Harapan,6061,Kalah
Perak,Jalong,Pan Chean Chang,Barisan Nasional,7242,Kalah
Perak,Jalong,Loh Sze Yee,Pakatan Harapan,15955,Menang
Perak,Jalong,Dato Naran Singh,Perikatan Nasional,3043,Kalah
Perak,Jalong,Indrani,Bebas,767,Kalah
Perak,Manjoi,Azizul Kama Abd Aziz,Barisan Nasional,14699,Kalah
Perak,Manjoi,Asmuni Awi,Pakatan Harapan,23084,Kalah
Perak,Manjoi,Ustaz Hafez Sabri,Perikatan Nasional,29852,Menang
Perak,Hulu Kinta,Datuk Mazlan Bin Abd Rahman,Barisan Nasional,16224,Kalah
Perak,Hulu Kinta,Puteri Holijah,Perikatan Nasional,18057,Kalah
Perak,Hulu Kinta,Muhamad Arafat,Pakatan Harapan,22220,Menang
Perak,Hulu Kinta,Murugiah Subramaniam,Bebas,437,Kalah
Perak,Canning,Woo Kok Toong,Barisan Nasional,1793,Kalah
Perak,Canning,Jenny Choy Tsi Jen,Pakatan Harapan,22527,Menang
Perak,Canning,Pang Boon Yang,Perikatan Nasional,1542,Kalah
Perak,Tebing Tinggi,Tony Khoo Boon Chuan,Barisan Nasional,5705,Kalah
Perak,Tebing Tinggi,Aziz Bari,Pakatan Harapan,11286,Menang
Perak,Tebing Tinggi,Iskandar Cikgu Rahman,Perikatan Nasional,10626,Kalah
Perak,Tebing Tinggi,Mior Haidir,Parti Pejuang Tanahair,194,Kalah
Perak,Pasir Pinji,Soo Poh Yeow,Barisan Nasional,1523,Kalah
Perak,Pasir Pinji,Goh See Hua,Pakatan Harapan,23692,Menang
Perak,Pasir Pinji,Lam Kin Yip,Perikatan Nasional,973,Kalah
Perak,Bercham,Albert Ho,Barisan Nasional,3482,Kalah
Perak,Bercham,Ong Boon Piow,Pakatan Harapan,29596,Menang
Perak,Bercham,Lim Jin Sheng,Perikatan Nasional,3351,Kalah
Perak,Kepayang,Lim Huey Shan,Barisan Nasional,2035,Kalah
Perak,Kepayang,Dr. Richard Ng,Perikatan Nasional,2486,Kalah
Perak,Kepayang,Nga Kor Ming,Pakatan Harapan,11977,Menang
Perak,Buntong,Thulsi Manogaran,Pakatan Harapan,21412,Menang
Perak,Buntong,Sivasubramaniam,Perikatan Nasional,1437,Kalah
Perak,Buntong,Muhammad Faiz Abdullah,Bebas,140,Kalah
Perak,Buntong,Sebastiar,Bebas,237,Kalah
Perak,Buntong,S. Jayagopi,Barisan Nasional,2257,Kalah
Perak,Jelapang,Cheah Pou Hian,Pakatan Harapan,21554,Menang
Perak,Jelapang,Navinten A/L Sundarajan,Perikatan Nasional,1299,Kalah
Perak,Jelapang,Hamidah Binti Muhamad,Barisan Nasional,1443,Kalah
Perak,Menglembu,Phoon Kai Mun,Barisan Nasional,1684,Kalah
Perak,Menglembu,Chaw Kam Foon,Pakatan Harapan,22875,Menang
Perak,Menglembu,Wong Kean Rong,Perikatan Nasional,1456,Kalah
Perak,Tronoh,Leong Chee Wai,Barisan Nasional,3351,Kalah
Perak,Tronoh,Steven Tiw,Pakatan Harapan,15602,Menang
Perak,Tronoh,Sin Koon Yen,Perikatan Nasional,4230,Kalah
Perak,Tronoh,Bryan Yong Wu Sean,Parti Bangsa Malaysia,710,Kalah
Perak,Tronoh,Meor Shahimudin Bin Hj Hasim,Bebas,259,Kalah
Perak,Tronoh,Roslan Bin Ismail,Parti Pejuang Tanahair,478,Kalah
Perak,Bukit Chandan,Azizul Rahim,Barisan Nasional,5386,Kalah
Perak,Bukit Chandan,Dr. Hashim Bin Bujang,Perikatan Nasional,6550,Menang
Perak,Bukit Chandan,Amir Sabri,Pakatan Harapan,5108,Kalah
Perak,Manong,Jamsari Mahamood,Pakatan Harapan,5137,Kalah
Perak,Manong,Mustafa Shah,Barisan Nasional,5308,Kalah
Perak,Manong,Berhanudin Ahmad,Perikatan Nasional,8220,Menang
Perak,Pengkalan Baharu,Cikgu Man,Barisan Nasional,6665,Menang
Perak,Pengkalan Baharu,Ahmad Faisal Bin Haji Mansor,Perikatan Nasional,5589,Kalah
Perak,Pengkalan Baharu,Cikgu Halim,Parti Pejuang Tanahair,125,Kalah
Perak,Pengkalan Baharu,Jais Ashfaq,Pakatan Harapan,4045,Kalah
Perak,Pantai Remis,Wong May Ing,Pakatan Harapan,20840,Menang
Perak,Pantai Remis,Albert Looi,Barisan Nasional,4408,Kalah
Perak,Pantai Remis,Eee Chin Oon,Perikatan Nasional,3600,Kalah
Perak,Astaka,Jason Ng Thien Yeong,Pakatan Harapan,21128,Menang
Perak,Astaka,Dr Chieng Lee Chong,Barisan Nasional,3293,Kalah
Perak,Astaka,Ah Yong ( Ian ),Perikatan Nasional,2612,Kalah
Perak,Belanja,Hishamuddin Abdullah,Pakatan Harapan,1881,Kalah
Perak,Belanja,Cikgu Din,Barisan Nasional,6374,Menang
Perak,Belanja,Meor Naqiuddin,Perikatan Nasional,5151,Kalah
Perak,Belanja,Ustaz Shaharuzzaman,Parti Pejuang Tanahair,146,Kalah
Perak,Bota,Khairul Shahril Bin Mohamed,Barisan Nasional,9312,Kalah
Perak,Bota,Dr.Najiha,Perikatan Nasional,11275,Menang
Perak,Bota,Shahril Harahab,Parti Pejuang Tanahair,218,Kalah
Perak,Bota,Kapt. Hj. Usaili Bin Alias (B),Pakatan Harapan,3138,Kalah
Perak,Malim Nawar,Shasha,Pakatan Harapan,10905,Menang
Perak,Malim Nawar,Ir. Chin Woon Kheong,Barisan Nasional,3646,Kalah
Perak,Malim Nawar,Leong Cheok Keng ,Parti Warisan Sabah,684,Kalah
Perak,Malim Nawar,Sherry Syed,Perikatan Nasional,3383,Kalah
Perak,Keranji,Angeline Koo Haai Yen,Pakatan Harapan,12201,Menang
Perak,Keranji,Foong Kar Sing,Perikatan Nasional,1803,Kalah
Perak,Keranji,Ng Wah Leng,Barisan Nasional,3452,Kalah
Perak,Keranji,Puah Chee Haur,Parti Warisan Sabah,110,Kalah
Perak,Tualang Sekah,Pazli Abdullah Sani,Perikatan Nasional,7772,Kalah
Perak,Tualang Sekah,Datuk Abd Rahman,Barisan Nasional,7524,Kalah
Perak,Tualang Sekah,Azlan Helmi,Pakatan Harapan,8025,Menang
Perak,Sungai Rapat,Dato Seri Nizar ,Pakatan Harapan,15065,Menang
Perak,Sungai Rapat,Mahader Ayob,Perikatan Nasional,11571,Kalah
Perak,Sungai Rapat,Datuk Hang Tuah Din,Barisan Nasional,9152,Kalah
Perak,Sungai Rapat,Roshanita Binti Mohamad Basir,Parti Warisan Sabah,154,Kalah
Perak,Simpang Pulai,K.Selvam,Perikatan Nasional,7403,Kalah
Perak,Simpang Pulai,Ir. Dr. Wayne Lee,Barisan Nasional,5956,Kalah
Perak,Simpang Pulai,Hooi Mi Suet,Parti Warisan Sabah,310,Kalah
Perak,Simpang Pulai,Wong Chai Yi,Pakatan Harapan,30676,Menang
Perak,Teja,Ahmad Ishak,Perikatan Nasional,5794,Kalah
Perak,Teja,Liew Yee Lin,Barisan Nasional,6259,Kalah
Perak,Teja,Low Leong Sin,Parti Warisan Sabah,176,Kalah
Perak,Teja,Aswannudin Bin Hariffudin,Parti Pejuang Tanahair,214,Kalah
Perak,Teja,Sandrea Ng,Pakatan Harapan,10814,Menang
Perak,Chenderiang,Mejar Bersekutu (Pa) Mhod Yunus Bin Mhd Yusop,Perikatan Nasional,4862,Kalah
Perak,Chenderiang,Ahmad Tarmizi Bin Mohd Ghazali,Parti Warisan Sabah,93,Kalah
Perak,Chenderiang,Mohd. Amin Bin Man,Parti Pejuang Tanahair,134,Kalah
Perak,Chenderiang,Atyrah Hanim,Pakatan Harapan,6155,Kalah
Perak,Chenderiang,Choong Shin Heng,Barisan Nasional,8406,Menang
Perak,Chenderiang,Atan Katering,Bebas,368,Kalah
Perak,Chenderiang,Teratai A/P Bah Arom (Asli Semai),Bebas,1070,Kalah
Perak,Ayer Kuning,Ustaz Farid,Perikatan Nasional,6812,Kalah
Perak,Ayer Kuning,Haji Ishsam Haji Shahruddin,Barisan Nasional,9088,Menang
Perak,Ayer Kuning,Noor Hasnida Hashim,Parti Warisan Sabah,0,Kalah
Perak,Ayer Kuning,Bawani Ks,Parti Sosialis Malaysia,586,Kalah
Perak,Ayer Kuning,Mej (Dr) Mohd Nazri Hashim (B),Pakatan Harapan,6875,Kalah
Perak,Ayer Kuning,Maziah Binti Salim,Parti Pejuang Tanahair,105,Kalah
Perak,Sungai Manik,Cikgu Maha,Pakatan Harapan,7660,Kalah
Perak,Sungai Manik,Dato Hj. Ibrahim Bin Katop,Barisan Nasional,7154,Kalah
Perak,Sungai Manik,Zainol Fadzi Paharudin,Perikatan Nasional,11610,Menang
Perak,Kampong Gajah,Mohd Syamsul Bin Alauddin,Pakatan Harapan,2824,Kalah
Perak,Kampong Gajah,Zafarulazhan Bin Zan,Perikatan Nasional,15634,Menang
Perak,Kampong Gajah,Datuk Dr Wan Norashikin Binti Wan Noordin,Barisan Nasional,11877,Kalah
Perak,Kampong Gajah,Mohd Safian Sauri Bin Pandak Abd Samad,Parti Pejuang Tanahair,299,Kalah
Perak,Pasir Panjang,Haji Rosli Abd Rahman,Perikatan Nasional,20182,Menang
Perak,Pasir Panjang,Hj. Mohd Rafiq Bin Mohd,Barisan Nasional,13301,Kalah
Perak,Pasir Panjang,Nur Inderasyawalis Bin Ahmad Mukhtar,Parti Warisan Sabah,274,Kalah
Perak,Pasir Panjang,Cikgu Yahaya,Pakatan Harapan,15065,Kalah
Perak,Pasir Panjang,Dato' Mohd Norazlee Bin Mohd,Parti Pejuang Tanahair,339,Kalah
Perak,Pangkor,Norhaslinda Zakaria,Perikatan Nasional,8507,Menang
Perak,Pangkor,Dato Norzaman,Barisan Nasional,7496,Kalah
Perak,Pangkor,Yahaya Bin Ahmad,Parti Warisan Sabah,170,Kalah
Perak,Pangkor,Mohd Azlan Bin Suhaimi,Parti Pejuang Tanahair,181,Kalah
Perak,Pangkor,Cikgu Razak @ Cr,Pakatan Harapan,5654,Kalah
Perak,Rungkup,Munzirie Kabir,Pakatan Harapan,3614,Kalah
Perak,Rungkup,Cikgu Mukri,Perikatan Nasional,3537,Kalah
Perak,Rungkup,Dato' Shahrul,Barisan Nasional,7023,Menang
Perak,Hutan Melintang,Khairun Nizam Bin Marsom,Perikatan Nasional,4976,Kalah
Perak,Hutan Melintang,Khairuddin Bin Tarmizi,Barisan Nasional,10794,Kalah
Perak,Hutan Melintang,Wasanthee A/P Sinnasamy,Pakatan Harapan,11924,Menang
Perak,Pasir Bedamar,S.Suria,Perikatan Nasional,2803,Kalah
Perak,Pasir Bedamar,Kong Sun Chin,Barisan Nasional,3615,Kalah
Perak,Pasir Bedamar,Woo Kah Leong,Pakatan Harapan,21061,Menang
Perak,Changkat Jong,Badrul Hisham Bin Badarudin,Pakatan Harapan,12145,Kalah
Perak,Changkat Jong,Hj. Nadziruddin Bin Hj. Mohamed Bandi,Perikatan Nasional,13232,Menang
Perak,Changkat Jong,Mohd Azhar Bin Jamaluddin,Barisan Nasional,11044,Kalah
