State,DUN,Name,Party,Vote,Result
Pahang,Tanah Rata,Ho Chi Yang,Pakatan Harapan,9856,Menang
Pahang,Tanah Rata,Wong Yap Wah,Barisan Nasional,7372,Kalah
Pahang,Tanah Rata,Lai Chii,Perikatan Nasional,1353,Kalah
Pahang,Jelai,Dato' Sri Wan Rosdy Bin Wan Ismail,Barisan Nasional,10092,Menang
Pahang,Jelai,Dr. Abdul Rasid,Perikatan Nasional,3109,Kalah
Pahang,Jelai,Ismail Bin Mohd Hussin,Pakatan Harapan,1465,Kalah
Pahang,Padang Tengku,Mustapa Long,Barisan Nasional,7198,Menang
Pahang,Padang Tengku,Khaider Kamil,Perikatan Nasional,6691,Kalah
Pahang,Padang Tengku,Ruzi @ Nata Bin Yusuff,Pakatan Harapan,1203,Kalah
Pahang,Padang Tengku,Mohd Rostam Bin Mustapha,Parti Pejuang Tanahair,176,Kalah
Pahang,Cheka,Tuan Ibrahim,Perikatan Nasional,5634,Menang
Pahang,Cheka,Aishaton Binti Abu Bakar,Parti Pejuang Tanahair,81,Kalah
Pahang,Cheka,Rasid Bin Muhamad,Pakatan Harapan,2255,Kalah
Pahang,Cheka,Ho Fong Mee,Barisan Nasional,4411,Kalah
Pahang,Benta,Dato Sri Soffi Tan Sri Razak,Barisan Nasional,3948,Menang
Pahang,Benta,Rizal Bin Jamin,Pakatan Harapan,2427,Kalah
Pahang,Benta,Cikgu Embong Lias,Perikatan Nasional,1814,Kalah
Pahang,Batu Talam,Abd Aziz Bin Mat Kiram,Barisan Nasional,7992,Menang
Pahang,Batu Talam,Ahmad Sabri Bin Mat Dui,Perikatan Nasional,5123,Kalah
Pahang,Batu Talam,Shahuddin Bin Abdul Rahman,Pakatan Harapan,1969,Kalah
Pahang,Tras,Lim Teck Hoe,Barisan Nasional,5858,Kalah
Pahang,Tras,Amirul Kuek,Perikatan Nasional,4233,Kalah
Pahang,Tras,Tengku Zulpuri Shah Bin Raja Puji,Pakatan Harapan,17255,Menang
Pahang,Tras,Ustaz Tahir,Parti Pejuang Tanahair,340,Kalah
Pahang,Dong,Fadzli Bin Mohamad Kamal,Barisan Nasional,6142,Menang
Pahang,Dong,Tengku Amir,Perikatan Nasional,5096,Kalah
Pahang,Dong,Mohd Jawaad ,Pakatan Harapan,2309,Kalah
Pahang,Tahan,Faezah Ishak,Barisan Nasional,6763,Kalah
Pahang,Tahan,Ustaz Zakuan,Perikatan Nasional,8777,Menang
Pahang,Tahan,Talib Tahar,Pakatan Harapan,724,Kalah
Pahang,Damak,Fasal Jamlus,Barisan Nasional,6655,Kalah
Pahang,Damak,Zuridan Bin Mohd Daud,Perikatan Nasional,10883,Menang
Pahang,Damak,Izzuddin Bin Ismail,Bebas,82,Kalah
Pahang,Damak,Mohamad Rafly Bin Mohd Satar,Pakatan Harapan,8587,Kalah
Pahang,Pulau Tawar,Dato' Hj. Nazri Bin Ngah,Barisan Nasional,9499,Kalah
Pahang,Pulau Tawar,Ustaz Yohanis ,Perikatan Nasional,12986,Menang
Pahang,Pulau Tawar,Norani Ijam,Pakatan Harapan,1091,Kalah
Pahang,Pulau Tawar,Dato' Ridzuan Bin Mansor,Bebas,544,Kalah
Pahang,Pulau Tawar,Mohd Rosidi Bin Hassan,Parti Pejuang Tanahair,50,Kalah
Pahang,Beserah,Dato' Indera Haji Mustaffar Kamal Bin Haji Ab Hamid,Barisan Nasional,9346,Kalah
Pahang,Beserah,Andansura Rabu,Perikatan Nasional,23867,Menang
Pahang,Beserah,Joseph Tang,Bebas,126,Kalah
Pahang,Beserah,Cikgu Mohd Pauzi,Parti Pejuang Tanahair,394,Kalah
Pahang,Beserah,Haji Zulkifli Mohamed,Pakatan Harapan,12346,Kalah
Pahang,Semambu,Haji Khairul Hisham B. Omar,Barisan Nasional,10422,Kalah
Pahang,Semambu,Zulfadli Zakariah,Perikatan Nasional,17098,Kalah
Pahang,Semambu,Dr Rashidah Binti Abdul Rahman,Parti Pejuang Tanahair,820,Kalah
Pahang,Semambu,Chan Chun Kuang,Pakatan Harapan,18902,Menang
Pahang,Teruntum,Misty@Tee Choon Ser,Barisan Nasional,4304,Kalah
Pahang,Teruntum,Ranndy Yap,Perikatan Nasional,3676,Kalah
Pahang,Teruntum,Khairul Afifie Bin Abdullah,Parti Pejuang Tanahair,1180,Kalah
Pahang,Teruntum,Sim Chon Siang,Pakatan Harapan,8679,Menang
Pahang,Tanjung Lumpur,Nara Nordin,Barisan Nasional,7710,Kalah
Pahang,Tanjung Lumpur,Ustaz Rosli Abdul Jabar,Perikatan Nasional,16699,Menang
Pahang,Tanjung Lumpur,Ab 'Alim Bin Ruslam Ahmad,Parti Pejuang Tanahair,167,Kalah
Pahang,Tanjung Lumpur,Hajah Sabrina,Pakatan Harapan,5796,Kalah
Pahang,Inderapura,Dato' Sri Haji Shafik Fauzan Bin Sharif,Barisan Nasional,7029,Menang
Pahang,Inderapura,Tok Hafizal,Perikatan Nasional,6107,Kalah
Pahang,Inderapura,Norashikin Binti Ismail,Parti Pejuang Tanahair,64,Kalah
Pahang,Inderapura,Haji Fakhrul Anuar Bin Zulkawi,Pakatan Harapan,2030,Kalah
Pahang,Sungai Lembing,Dato' Haji Umor Arbain Bin Dollah,Barisan Nasional,5908,Kalah
Pahang,Sungai Lembing,Ayub Ashri,Perikatan Nasional,6962,Menang
Pahang,Sungai Lembing,Mejar Anuar Tajuddin (B),Parti Pejuang Tanahair,86,Kalah
Pahang,Sungai Lembing,Dato Sri Ahmad Omar,Pakatan Harapan,1738,Kalah
Pahang,Lepar,Dato' Abd Rahim Bin Muda,Barisan Nasional,8017,Kalah
Pahang,Lepar,Mohd Yazid Bin Mohd Yunus,Perikatan Nasional,8436,Menang
Pahang,Lepar,Ir. Rosminahar,Parti Pejuang Tanahair,103,Kalah
Pahang,Lepar,Ibrohim Mazalan,Pakatan Harapan,3166,Kalah
Pahang,Panching,Fauziah Binti Abd Wahab,Barisan Nasional,8031,Kalah
Pahang,Panching,Ustaz Mohd Tarmizi Yahaya,Perikatan Nasional,15167,Menang
Pahang,Panching,Afif Syairol,Parti Pejuang Tanahair,130,Kalah
Pahang,Panching,Haslindalina Hashim,Pakatan Harapan,4243,Kalah
Pahang,Pulau Manis,Khairil Khalid,Pakatan Harapan,1901,Kalah
Pahang,Pulau Manis,Khairuddin Bin Mahmud,Barisan Nasional,9133,Kalah
Pahang,Pulau Manis,Rafiq Khan,Perikatan Nasional,13064,Menang
Pahang,Peramu Jaya,Mohamad Nizar Bin Mohamad Najib,Barisan Nasional,19337,Menang
Pahang,Peramu Jaya,Cikgu Talib,Perikatan Nasional,11514,Kalah
Pahang,Peramu Jaya,Tengku Dato' Hisham,Bebas,193,Kalah
Pahang,Peramu Jaya,Tugimon Bin Abdul Hamid,Pakatan Harapan,2511,Kalah
Pahang,Bebar,Mohammad Fakhruddin Bin Mohd Ariff,Barisan Nasional,10485,Menang
Pahang,Bebar,Narzatul Haidar Bin Sakim,Perikatan Nasional,4212,Kalah
Pahang,Bebar,Ibrahim Bin Sulaiman,Pakatan Harapan,866,Kalah
Pahang,Chini,Mohd Sharim Bin Md Zain,Barisan Nasional,10588,Menang
Pahang,Chini,Razi Jalal,Perikatan Nasional,8463,Kalah
Pahang,Chini,Mohamad Yazid Bin Che Mat,Pakatan Harapan,833,Kalah
Pahang,Luit,Jamaluddin Md. Marzuki,Barisan Nasional,4836,Kalah
Pahang,Luit,Mohd Sofian Bin Abd Jalil,Perikatan Nasional,6002,Menang
Pahang,Luit,Mohd. Afandi Abd. Rani,Pakatan Harapan,1584,Kalah
Pahang,Kuala Sentul,Khairuddin Ali,Barisan Nasional,5775,Kalah
Pahang,Kuala Sentul,Jasri Bin Jamaludin,Perikatan Nasional,6016,Menang
Pahang,Kuala Sentul,Amran Bin Tahir,Pakatan Harapan,1223,Kalah
Pahang,Chenor,Saiful Anuar Mokhtar,Barisan Nasional,6149,Kalah
Pahang,Chenor,Ustaz Mujibur Rahman,Perikatan Nasional,8855,Menang
Pahang,Chenor,Sham Sukie,Pakatan Harapan,637,Kalah
Pahang,Jenderak,Rodzuan Bin Zaaba,Barisan Nasional,5409,Menang
Pahang,Jenderak,Ustaz Md Anuar Bin Daud,Perikatan Nasional,3955,Kalah
Pahang,Jenderak,Mohamad Hafez Bin Harun,Pakatan Harapan,1447,Kalah
Pahang,Kerdau,Syed Ibrahim Bin Syed Ahmad,Barisan Nasional,6531,Menang
Pahang,Kerdau,Arhan Saludin @ Cheni,Perikatan Nasional,4602,Kalah
Pahang,Kerdau,Ahmad Arif Bin Md Daud,Pakatan Harapan,988,Kalah
Pahang,Jengka,Norhasmimi Binti Abdul Ghani,Barisan Nasional,8405,Kalah
Pahang,Jengka,Ustaz Haji Shahril Azman Bin Abd Halim Al Hafiz,Perikatan Nasional,15309,Menang
Pahang,Jengka,Ustaz Jamaluddin,Pakatan Harapan,1111,Kalah
Pahang,Mentakab,Woo Chee Wan,Pakatan Harapan,12905,Menang
Pahang,Mentakab,Wong Tze Shiang,Barisan Nasional,5996,Kalah
Pahang,Mentakab,Cikgu Mohd Yusoff,Perikatan Nasional,9248,Kalah
Pahang,Mentakab,Abdul Wahab Bin Kadir,Parti Pejuang Tanahair,287,Kalah
Pahang,Lanchang,Dato' Razmi Bin Sudin,Barisan Nasional,9573,Kalah
Pahang,Lanchang,Hasan Omar,Perikatan Nasional,10024,Menang
Pahang,Lanchang,Jamil Yaakub,Parti Rakyat Malaysia,203,Kalah
Pahang,Lanchang,Rosli Ismail,Pakatan Harapan,4840,Kalah
Pahang,Lanchang,Lt Kol Zaini Bin Mohamad (B),Parti Pejuang Tanahair,328,Kalah
Pahang,Kuala Semantan,Dato' Nor Azmi Bin Mat Ludin,Barisan Nasional,10648,Kalah
Pahang,Kuala Semantan,Hassanuddin Salim,Perikatan Nasional,12386,Menang
Pahang,Kuala Semantan,Syafiq Khaidir,Parti Pejuang Tanahair,225,Kalah
Pahang,Kuala Semantan,Azizul Shah,Pakatan Harapan,5918,Kalah
Pahang,Bilut,Lee Chin Chen,Pakatan Harapan,8895,Menang
Pahang,Bilut,Wong Siew Mun,Barisan Nasional,5784,Kalah
Pahang,Bilut,Dato' Sri Chandra Balabedha,Perikatan Nasional,3363,Kalah
Pahang,Bilut,Mohd Shokri,Parti Pejuang Tanahair,433,Kalah
